,month,year,vazao,data_ticks
612,1,2017,162.85399999999998,2017-1
613,2,2017,271.357,2017-2
614,3,2017,217.12900000000002,2017-3
615,4,2017,227.396,2017-4
616,5,2017,144.60399999999998,2017-5
617,6,2017,130.76,2017-6
618,8,2017,113.43299999999999,2017-8
619,9,2017,104.77799999999999,2017-9
620,10,2017,101.777,2017-10
621,11,2017,137.08100000000002,2017-11
622,12,2017,173.56099999999998,2017-12
623,1,2018,170.44799999999998,2018-1
624,2,2018,246.386,2018-2
625,3,2018,329.051,2018-3
628,4,2018,218.924,2018-4
629,5,2018,147.269,2018-5
630,6,2018,132.57299999999998,2018-6
631,7,2018,124.715,2018-7
633,8,2018,117.23899999999999,2018-8
632,9,2018,110.346,2018-9
634,10,2018,136.705,2018-10
